rank,position,hand,player,years,years_active,total_goals,status,yr_start,season,age,team,league,season_games,goals,assists,points,plus_minus,penalty_min,goals_even,goals_power_play,goals_short_handed,goals_game_winner,headshot
1,Centre,Left,Wayne Gretzky,1979-99,22,894,Retired,1979,1979-80,19,EDM,NHL,79,51,86,137,14.0,21,37.0,13.0,1.0,6.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/gretzwa01.jpg
1,Centre,Left,Wayne Gretzky,1979-99,22,894,Retired,1979,1980-81,20,EDM,NHL,80,55,109,164,41.0,28,36.0,15.0,4.0,3.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/gretzwa01.jpg
1,Centre,Left,Wayne Gretzky,1979-99,22,894,Retired,1979,1981-82,21,EDM,NHL,80,92,120,212,80.0,26,68.0,18.0,6.0,12.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/gretzwa01.jpg
1,Centre,Left,Wayne Gretzky,1979-99,22,894,Retired,1979,1982-83,22,EDM,NHL,80,71,125,196,61.0,59,47.0,18.0,6.0,9.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/gretzwa01.jpg
1,Centre,Left,Wayne Gretzky,1979-99,22,894,Retired,1979,1983-84,23,EDM,NHL,74,87,118,205,78.0,39,55.0,20.0,12.0,11.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/gretzwa01.jpg
1,Centre,Left,Wayne Gretzky,1979-99,22,894,Retired,1979,1984-85,24,EDM,NHL,80,73,135,208,100.0,52,54.0,8.0,11.0,7.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/gretzwa01.jpg
1,Centre,Left,Wayne Gretzky,1979-99,22,894,Retired,1979,1985-86,25,EDM,NHL,80,52,163,215,71.0,46,38.0,11.0,3.0,6.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/gretzwa01.jpg
1,Centre,Left,Wayne Gretzky,1979-99,22,894,Retired,1979,1986-87,26,EDM,NHL,79,62,121,183,69.0,28,42.0,13.0,7.0,4.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/gretzwa01.jpg
1,Centre,Left,Wayne Gretzky,1979-99,22,894,Retired,1979,1987-88,27,EDM,NHL,64,40,109,149,39.0,24,26.0,9.0,5.0,3.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/gretzwa01.jpg
1,Centre,Left,Wayne Gretzky,1979-99,22,894,Retired,1979,1988-89,28,LAK,NHL,78,54,114,168,15.0,26,38.0,11.0,5.0,5.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/gretzwa01.jpg
1,Centre,Left,Wayne Gretzky,1979-99,22,894,Retired,1979,1989-90,29,LAK,NHL,73,40,102,142,8.0,42,26.0,10.0,4.0,4.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/gretzwa01.jpg
1,Centre,Left,Wayne Gretzky,1979-99,22,894,Retired,1979,1990-91,30,LAK,NHL,78,41,122,163,30.0,16,33.0,8.0,0.0,5.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/gretzwa01.jpg
1,Centre,Left,Wayne Gretzky,1979-99,22,894,Retired,1979,1991-92,31,LAK,NHL,74,31,90,121,-12.0,34,17.0,12.0,2.0,2.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/gretzwa01.jpg
1,Centre,Left,Wayne Gretzky,1979-99,22,894,Retired,1979,1992-93,32,LAK,NHL,45,16,49,65,6.0,6,14.0,0.0,2.0,1.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/gretzwa01.jpg
1,Centre,Left,Wayne Gretzky,1979-99,22,894,Retired,1979,1993-94,33,LAK,NHL,81,38,92,130,-25.0,20,20.0,14.0,4.0,0.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/gretzwa01.jpg
1,Centre,Left,Wayne Gretzky,1979-99,22,894,Retired,1979,1994-95,34,LAK,NHL,48,11,37,48,-20.0,6,8.0,3.0,0.0,1.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/gretzwa01.jpg
1,Centre,Left,Wayne Gretzky,1979-99,22,894,Retired,1979,1995-96,35,TOT,NHL,80,23,79,102,-13.0,34,16.0,6.0,1.0,3.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/gretzwa01.jpg
1,Centre,Left,Wayne Gretzky,1979-99,22,894,Retired,1979,1995-96,35,LAK,NHL,62,15,66,81,-7.0,32,10.0,5.0,0.0,2.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/gretzwa01.jpg
1,Centre,Left,Wayne Gretzky,1979-99,22,894,Retired,1979,1995-96,35,STL,NHL,18,8,13,21,-6.0,2,6.0,1.0,1.0,1.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/gretzwa01.jpg
1,Centre,Left,Wayne Gretzky,1979-99,22,894,Retired,1979,1996-97,36,NYR,NHL,82,25,72,97,12.0,28,19.0,6.0,0.0,2.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/gretzwa01.jpg
1,Centre,Left,Wayne Gretzky,1979-99,22,894,Retired,1979,1997-98,37,NYR,NHL,82,23,67,90,-11.0,28,17.0,6.0,0.0,4.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/gretzwa01.jpg
1,Centre,Left,Wayne Gretzky,1979-99,22,894,Retired,1979,1998-99,38,NYR,NHL,70,9,53,62,-23.0,14,6.0,3.0,0.0,3.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/gretzwa01.jpg
2,Rightwing,Right,Gordie Howe,1946-80,36,801,Retired,1946,1959-60,31,DET,NHL,70,28,45,73,16.0,46,21.0,5.0,2.0,5.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/howego01.jpg
2,Rightwing,Right,Gordie Howe,1946-80,36,801,Retired,1946,1960-61,32,DET,NHL,64,23,49,72,-5.0,30,15.0,6.0,2.0,4.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/howego01.jpg
2,Rightwing,Right,Gordie Howe,1946-80,36,801,Retired,1946,1961-62,33,DET,NHL,70,33,44,77,12.0,54,21.0,10.0,2.0,7.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/howego01.jpg
2,Rightwing,Right,Gordie Howe,1946-80,36,801,Retired,1946,1962-63,34,DET,NHL,70,38,48,86,23.0,100,25.0,13.0,0.0,6.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/howego01.jpg
2,Rightwing,Right,Gordie Howe,1946-80,36,801,Retired,1946,1963-64,35,DET,NHL,69,26,47,73,-10.0,70,13.0,12.0,1.0,3.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/howego01.jpg
2,Rightwing,Right,Gordie Howe,1946-80,36,801,Retired,1946,1964-65,36,DET,NHL,70,29,47,76,22.0,104,13.0,13.0,3.0,2.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/howego01.jpg
2,Rightwing,Right,Gordie Howe,1946-80,36,801,Retired,1946,1965-66,37,DET,NHL,70,29,46,75,19.0,83,22.0,7.0,0.0,3.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/howego01.jpg
2,Rightwing,Right,Gordie Howe,1946-80,36,801,Retired,1946,1966-67,38,DET,NHL,69,25,40,65,-3.0,53,16.0,8.0,1.0,1.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/howego01.jpg
2,Rightwing,Right,Gordie Howe,1946-80,36,801,Retired,1946,1967-68,39,DET,NHL,74,39,43,82,12.0,53,29.0,10.0,0.0,4.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/howego01.jpg
2,Rightwing,Right,Gordie Howe,1946-80,36,801,Retired,1946,1968-69,40,DET,NHL,76,44,59,103,45.0,58,35.0,9.0,0.0,6.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/howego01.jpg
2,Rightwing,Right,Gordie Howe,1946-80,36,801,Retired,1946,1969-70,41,DET,NHL,76,31,40,71,23.0,58,16.0,11.0,4.0,5.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/howego01.jpg
2,Rightwing,Right,Gordie Howe,1946-80,36,801,Retired,1946,1970-71,42,DET,NHL,63,23,29,52,-3.0,38,15.0,7.0,1.0,3.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/howego01.jpg
2,Rightwing,Right,Gordie Howe,1946-80,36,801,Retired,1946,1975-76,47,HSA,WHA,78,32,70,102,14.0,76,19.0,12.0,1.0,4.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/howego01.jpg
2,Rightwing,Right,Gordie Howe,1946-80,36,801,Retired,1946,1976-77,48,HSA,WHA,62,24,44,68,27.0,57,18.0,5.0,1.0,3.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/howego01.jpg
2,Rightwing,Right,Gordie Howe,1946-80,36,801,Retired,1946,1979-80,51,HAR,NHL,80,15,26,41,9.0,42,13.0,2.0,0.0,0.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/howego01.jpg
3,Rightwing,Left,Jaromir Jagr,1990-18,30,766,Retired,1990,1990-91,18,PIT,NHL,80,27,30,57,-4.0,42,20.0,7.0,0.0,4.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/jagrja01-2015.jpg
3,Rightwing,Left,Jaromir Jagr,1990-18,30,766,Retired,1990,1991-92,19,PIT,NHL,70,32,37,69,12.0,34,28.0,4.0,0.0,4.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/jagrja01-2015.jpg
3,Rightwing,Left,Jaromir Jagr,1990-18,30,766,Retired,1990,1992-93,20,PIT,NHL,81,34,60,94,30.0,61,23.0,10.0,1.0,9.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/jagrja01-2015.jpg
3,Rightwing,Left,Jaromir Jagr,1990-18,30,766,Retired,1990,1993-94,21,PIT,NHL,80,32,67,99,15.0,61,23.0,9.0,0.0,6.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/jagrja01-2015.jpg
3,Rightwing,Left,Jaromir Jagr,1990-18,30,766,Retired,1990,1994-95,22,PIT,NHL,48,32,38,70,23.0,37,21.0,8.0,3.0,7.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/jagrja01-2015.jpg
3,Rightwing,Left,Jaromir Jagr,1990-18,30,766,Retired,1990,1995-96,23,PIT,NHL,82,62,87,149,31.0,96,41.0,20.0,1.0,12.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/jagrja01-2015.jpg
3,Rightwing,Left,Jaromir Jagr,1990-18,30,766,Retired,1990,1996-97,24,PIT,NHL,63,47,48,95,22.0,40,34.0,11.0,2.0,6.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/jagrja01-2015.jpg
3,Rightwing,Left,Jaromir Jagr,1990-18,30,766,Retired,1990,1997-98,25,PIT,NHL,77,35,67,102,17.0,64,28.0,7.0,0.0,8.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/jagrja01-2015.jpg
3,Rightwing,Left,Jaromir Jagr,1990-18,30,766,Retired,1990,1998-99,26,PIT,NHL,81,44,83,127,17.0,66,33.0,10.0,1.0,7.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/jagrja01-2015.jpg
3,Rightwing,Left,Jaromir Jagr,1990-18,30,766,Retired,1990,1999-00,27,PIT,NHL,63,42,54,96,25.0,50,32.0,10.0,0.0,5.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/jagrja01-2015.jpg
3,Rightwing,Left,Jaromir Jagr,1990-18,30,766,Retired,1990,2000-01,28,PIT,NHL,81,52,69,121,19.0,42,37.0,14.0,1.0,10.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/jagrja01-2015.jpg
3,Rightwing,Left,Jaromir Jagr,1990-18,30,766,Retired,1990,2001-02,29,WSH,NHL,69,31,48,79,0.0,30,21.0,10.0,0.0,3.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/jagrja01-2015.jpg
3,Rightwing,Left,Jaromir Jagr,1990-18,30,766,Retired,1990,2002-03,30,WSH,NHL,75,36,41,77,5.0,38,21.0,13.0,2.0,9.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/jagrja01-2015.jpg
3,Rightwing,Left,Jaromir Jagr,1990-18,30,766,Retired,1990,2003-04,31,TOT,NHL,77,31,43,74,-5.0,38,21.0,10.0,0.0,3.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/jagrja01-2015.jpg
3,Rightwing,Left,Jaromir Jagr,1990-18,30,766,Retired,1990,2003-04,31,WSH,NHL,46,16,29,45,-4.0,26,10.0,6.0,0.0,1.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/jagrja01-2015.jpg
3,Rightwing,Left,Jaromir Jagr,1990-18,30,766,Retired,1990,2003-04,31,NYR,NHL,31,15,14,29,-1.0,12,11.0,4.0,0.0,2.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/jagrja01-2015.jpg
3,Rightwing,Left,Jaromir Jagr,1990-18,30,766,Retired,1990,2005-06,33,NYR,NHL,82,54,69,123,34.0,72,30.0,24.0,0.0,9.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/jagrja01-2015.jpg
3,Rightwing,Left,Jaromir Jagr,1990-18,30,766,Retired,1990,2006-07,34,NYR,NHL,82,30,66,96,26.0,78,23.0,7.0,0.0,5.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/jagrja01-2015.jpg
3,Rightwing,Left,Jaromir Jagr,1990-18,30,766,Retired,1990,2007-08,35,NYR,NHL,82,25,46,71,8.0,58,18.0,7.0,0.0,5.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/jagrja01-2015.jpg
3,Rightwing,Left,Jaromir Jagr,1990-18,30,766,Retired,1990,2011-12,39,PHI,NHL,73,19,35,54,5.0,30,11.0,8.0,0.0,2.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/jagrja01-2015.jpg
3,Rightwing,Left,Jaromir Jagr,1990-18,30,766,Retired,1990,2012-13,40,TOT,NHL,45,16,19,35,-2.0,22,10.0,6.0,0.0,4.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/jagrja01-2015.jpg
3,Rightwing,Left,Jaromir Jagr,1990-18,30,766,Retired,1990,2012-13,40,DAL,NHL,34,14,12,26,-5.0,20,8.0,6.0,0.0,2.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/jagrja01-2015.jpg
3,Rightwing,Left,Jaromir Jagr,1990-18,30,766,Retired,1990,2012-13,40,BOS,NHL,11,2,7,9,3.0,2,2.0,0.0,0.0,2.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/jagrja01-2015.jpg
3,Rightwing,Left,Jaromir Jagr,1990-18,30,766,Retired,1990,2013-14,41,NJD,NHL,82,24,43,67,16.0,46,19.0,5.0,0.0,6.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/jagrja01-2015.jpg
3,Rightwing,Left,Jaromir Jagr,1990-18,30,766,Retired,1990,2014-15,42,TOT,NHL,77,17,30,47,-3.0,48,13.0,4.0,0.0,5.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/jagrja01-2015.jpg
3,Rightwing,Left,Jaromir Jagr,1990-18,30,766,Retired,1990,2014-15,42,NJD,NHL,57,11,18,29,-10.0,42,9.0,2.0,0.0,3.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/jagrja01-2015.jpg
3,Rightwing,Left,Jaromir Jagr,1990-18,30,766,Retired,1990,2014-15,42,FLA,NHL,20,6,12,18,7.0,6,4.0,2.0,0.0,2.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/jagrja01-2015.jpg
3,Rightwing,Left,Jaromir Jagr,1990-18,30,766,Retired,1990,2015-16,43,FLA,NHL,79,27,39,66,23.0,48,22.0,5.0,0.0,4.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/jagrja01-2015.jpg
3,Rightwing,Left,Jaromir Jagr,1990-18,30,766,Retired,1990,2016-17,44,FLA,NHL,82,16,30,46,2.0,56,8.0,8.0,0.0,2.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/jagrja01-2015.jpg
3,Rightwing,Left,Jaromir Jagr,1990-18,30,766,Retired,1990,2017-18,45,CGY,NHL,22,1,6,7,6.0,10,1.0,0.0,0.0,0.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/jagrja01-2015.jpg
4,Rightwing,Right,Brett Hull,1986-06,22,741,Retired,1986,1986-87,22,CGY,NHL,5,1,0,1,-1.0,0,1.0,0.0,0.0,1.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/hullbr01.jpg
4,Rightwing,Right,Brett Hull,1986-06,22,741,Retired,1986,1987-88,23,TOT,NHL,65,32,32,64,14.0,16,26.0,6.0,0.0,3.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/hullbr01.jpg
4,Rightwing,Right,Brett Hull,1986-06,22,741,Retired,1986,1987-88,23,CGY,NHL,52,26,24,50,10.0,12,22.0,4.0,0.0,3.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/hullbr01.jpg
4,Rightwing,Right,Brett Hull,1986-06,22,741,Retired,1986,1987-88,23,STL,NHL,13,6,8,14,4.0,4,4.0,2.0,0.0,0.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/hullbr01.jpg
4,Rightwing,Right,Brett Hull,1986-06,22,741,Retired,1986,1988-89,24,STL,NHL,78,41,43,84,-17.0,33,25.0,16.0,0.0,6.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/hullbr01.jpg
4,Rightwing,Right,Brett Hull,1986-06,22,741,Retired,1986,1989-90,25,STL,NHL,80,72,41,113,-1.0,24,45.0,27.0,0.0,12.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/hullbr01.jpg
4,Rightwing,Right,Brett Hull,1986-06,22,741,Retired,1986,1990-91,26,STL,NHL,78,86,45,131,23.0,22,57.0,29.0,0.0,11.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/hullbr01.jpg
4,Rightwing,Right,Brett Hull,1986-06,22,741,Retired,1986,1991-92,27,STL,NHL,73,70,39,109,-2.0,48,45.0,20.0,5.0,9.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/hullbr01.jpg
4,Rightwing,Right,Brett Hull,1986-06,22,741,Retired,1986,1992-93,28,STL,NHL,80,54,47,101,-27.0,41,25.0,29.0,0.0,2.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/hullbr01.jpg
4,Rightwing,Right,Brett Hull,1986-06,22,741,Retired,1986,1993-94,29,STL,NHL,81,57,40,97,-3.0,38,29.0,25.0,3.0,6.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/hullbr01.jpg
4,Rightwing,Right,Brett Hull,1986-06,22,741,Retired,1986,1994-95,30,STL,NHL,48,29,21,50,13.0,10,17.0,9.0,3.0,6.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/hullbr01.jpg
4,Rightwing,Right,Brett Hull,1986-06,22,741,Retired,1986,1995-96,31,STL,NHL,70,43,40,83,4.0,30,22.0,16.0,5.0,6.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/hullbr01.jpg
4,Rightwing,Right,Brett Hull,1986-06,22,741,Retired,1986,1996-97,32,STL,NHL,77,42,40,82,-9.0,10,28.0,12.0,2.0,6.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/hullbr01.jpg
4,Rightwing,Right,Brett Hull,1986-06,22,741,Retired,1986,1997-98,33,STL,NHL,66,27,45,72,-1.0,26,17.0,10.0,0.0,6.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/hullbr01.jpg
4,Rightwing,Right,Brett Hull,1986-06,22,741,Retired,1986,1998-99,34,DAL,NHL,60,32,26,58,19.0,30,17.0,15.0,0.0,11.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/hullbr01.jpg
4,Rightwing,Right,Brett Hull,1986-06,22,741,Retired,1986,1999-00,35,DAL,NHL,79,24,35,59,-21.0,43,13.0,11.0,0.0,3.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/hullbr01.jpg
4,Rightwing,Right,Brett Hull,1986-06,22,741,Retired,1986,2000-01,36,DAL,NHL,79,39,40,79,10.0,18,28.0,11.0,0.0,8.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/hullbr01.jpg
4,Rightwing,Right,Brett Hull,1986-06,22,741,Retired,1986,2001-02,37,DET,NHL,82,30,33,63,18.0,35,22.0,7.0,1.0,4.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/hullbr01.jpg
4,Rightwing,Right,Brett Hull,1986-06,22,741,Retired,1986,2002-03,38,DET,NHL,82,37,39,76,11.0,22,24.0,12.0,1.0,4.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/hullbr01.jpg
4,Rightwing,Right,Brett Hull,1986-06,22,741,Retired,1986,2003-04,39,DET,NHL,81,25,43,68,-4.0,12,15.0,10.0,0.0,6.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/hullbr01.jpg
4,Rightwing,Right,Brett Hull,1986-06,22,741,Retired,1986,2005-06,41,PHX,NHL,5,0,1,1,-3.0,0,0.0,0.0,0.0,0.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/hullbr01.jpg
5,Centre,Right,Marcel Dionne,1971-89,20,731,Retired,1971,1971-72,20,DET,NHL,78,28,49,77,0.0,14,21.0,7.0,0.0,2.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/dionnma01.jpg
5,Centre,Right,Marcel Dionne,1971-89,20,731,Retired,1971,1972-73,21,DET,NHL,77,40,50,90,-4.0,21,30.0,10.0,0.0,6.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/dionnma01.jpg
5,Centre,Right,Marcel Dionne,1971-89,20,731,Retired,1971,1973-74,22,DET,NHL,74,24,54,78,-31.0,10,21.0,3.0,0.0,1.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/dionnma01.jpg
5,Centre,Right,Marcel Dionne,1971-89,20,731,Retired,1971,1974-75,23,DET,NHL,80,47,74,121,-15.0,14,22.0,15.0,10.0,1.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/dionnma01.jpg
5,Centre,Right,Marcel Dionne,1971-89,20,731,Retired,1971,1975-76,24,LAK,NHL,80,40,54,94,4.0,38,32.0,7.0,1.0,6.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/dionnma01.jpg
5,Centre,Right,Marcel Dionne,1971-89,20,731,Retired,1971,1976-77,25,LAK,NHL,80,53,69,122,11.0,12,38.0,14.0,1.0,5.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/dionnma01.jpg
5,Centre,Right,Marcel Dionne,1971-89,20,731,Retired,1971,1977-78,26,LAK,NHL,70,36,43,79,-7.0,37,27.0,9.0,0.0,4.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/dionnma01.jpg
5,Centre,Right,Marcel Dionne,1971-89,20,731,Retired,1971,1978-79,27,LAK,NHL,80,59,71,130,22.0,30,40.0,19.0,0.0,7.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/dionnma01.jpg
5,Centre,Right,Marcel Dionne,1971-89,20,731,Retired,1971,1979-80,28,LAK,NHL,80,53,84,137,34.0,32,36.0,17.0,0.0,6.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/dionnma01.jpg
5,Centre,Right,Marcel Dionne,1971-89,20,731,Retired,1971,1980-81,29,LAK,NHL,80,58,77,135,54.0,70,31.0,23.0,4.0,9.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/dionnma01.jpg
5,Centre,Right,Marcel Dionne,1971-89,20,731,Retired,1971,1981-82,30,LAK,NHL,78,50,67,117,-10.0,50,32.0,17.0,1.0,5.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/dionnma01.jpg
5,Centre,Right,Marcel Dionne,1971-89,20,731,Retired,1971,1982-83,31,LAK,NHL,80,56,51,107,10.0,22,38.0,17.0,1.0,7.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/dionnma01.jpg
5,Centre,Right,Marcel Dionne,1971-89,20,731,Retired,1971,1983-84,32,LAK,NHL,66,39,53,92,7.0,28,26.0,13.0,0.0,2.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/dionnma01.jpg
5,Centre,Right,Marcel Dionne,1971-89,20,731,Retired,1971,1984-85,33,LAK,NHL,80,46,80,126,11.0,46,29.0,16.0,1.0,2.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/dionnma01.jpg
5,Centre,Right,Marcel Dionne,1971-89,20,731,Retired,1971,1985-86,34,LAK,NHL,80,36,58,94,-22.0,42,25.0,11.0,0.0,4.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/dionnma01.jpg
5,Centre,Right,Marcel Dionne,1971-89,20,731,Retired,1971,1986-87,35,TOT,NHL,81,28,56,84,-17.0,60,17.0,11.0,0.0,2.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/dionnma01.jpg
5,Centre,Right,Marcel Dionne,1971-89,20,731,Retired,1971,1986-87,35,LAK,NHL,67,24,50,74,-9.0,54,15.0,9.0,0.0,2.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/dionnma01.jpg
5,Centre,Right,Marcel Dionne,1971-89,20,731,Retired,1971,1986-87,35,NYR,NHL,14,4,6,10,-8.0,6,3.0,1.0,0.0,0.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/dionnma01.jpg
5,Centre,Right,Marcel Dionne,1971-89,20,731,Retired,1971,1987-88,36,NYR,NHL,67,31,34,65,-14.0,54,9.0,22.0,0.0,4.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/dionnma01.jpg
5,Centre,Right,Marcel Dionne,1971-89,20,731,Retired,1971,1988-89,37,NYR,NHL,37,7,16,23,-6.0,20,3.0,4.0,0.0,0.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/dionnma01.jpg
6,Centre,Left,Phil Esposito,1963-81,20,717,Retired,1963,1963-64,21,CBH,NHL,27,3,2,5,2.0,2,3.0,0.0,0.0,0.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/esposph01.jpg
6,Centre,Left,Phil Esposito,1963-81,20,717,Retired,1963,1964-65,22,CBH,NHL,70,23,32,55,5.0,44,17.0,5.0,1.0,9.0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/esposph01.jpg
